What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
Striving for excellence in the school setting even if not achieving it.,"Getting good grades,Time management,Balancing stress,Extracurriculars/Clubs,Pursuing knowledge/answers",,4,6,3,5,7,8,1,2,Yes,Myself,,,Motivated,,Yes,Everything I need to be successful academically can be found online,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would be unable to get the higher up jobs that I want.,"Happy,Proud","Annoyed,Stressed","Time management,Attaining top grades,Extracurriculars/Clubs",Third year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,6
being smart and having high grades ,Getting good grades,,1,8,2,6,5,7,4,3,Maybe,,,,Both,,Yes,Family supports me ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would get unmotivated,"Happy,Relieved,Proud","Stressed,Anxious","Tests,Impressing your parents/guardians",Fourth year of equivalent,Public institution,No,Yes,Top 50% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,5,4
"Academic success means getting the degree and graduating with a good GPA. But, it also means getting that real life experience in between as well.","Career preparation,Extracurriculars/Clubs,Internships/co-ops",,1,7,8,4,2,6,5,3,Yes,Myself,,,Both,,Like somewhat,"I feel this way because it's always been my goal to get a degree, get a good job and make good money. But, I feel as if it is also society pressures to be successful.",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,It would effect my future because what if I want to go to graduate school in the future? My grades would effect that.,"Relieved,Gratified","Annoyed,Angry,Stressed,Anxious,Stuck","Time management,Extracurriculars/Clubs,Internship/Career-oriented work",Fourth year of equivalent,Public institution,Yes,Yes,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,6,8
"It means graduating on time, having good grades while having a decent academic-work-life balance.","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,5,6,4,3,7,8,2,1,Yes,Myself,,,Both,,Like somewhat,"Being a mostly independent student who has not had the best guidance in life during high school and my early adulthood has given me challenges that others don't have, these are not as easy to deal with as opposed to students who where given full support from their parents through their entire academic career and where given proper guidance about what to do.

I feel like I have unknowingly wasted a lot of time when I started school and that is not time I will get back and there is no undoing what has already been lost, only managing what I have left better. Taking care of myself isn't something I can sacrifice on either, but now that I am an adult. I need to work, take care of my health, pursue life goals that go beyond academics and career, and this isn't easy either. But does limit how much I can commit to academics within a day.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"Not much at this point, just the date I graduate and start professional work.","Happy,Relieved,Gratified,Proud,Stressed","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Major assignments,Time management,Balancing stress",Fourth year of equivalent,Public institution,Yes,No,Top 75% of the class,"NO, my career ambitions have changed A LOT from when I was in high school","My high school had a really toxic culture on campus that simultaneously encouraged people to slack and not care as much about college and career planning as they should, while also having people that would burn themselves out on multiple AP classes for getting basically one semester's worth of credits by their time of graduation. I also didn't know who to reach out to in high school or felt comfortable talking to people who simply knew better because I was treated as a social outcast from 3rd grade to 10th grade.

This really left a very negative impact on my early academic career and only within the last three years have I been able to recognize this. ",5,4
To complete the course of study you chose to invest your time and energy into.,"Getting good grades,Career preparation,Pursuing knowledge/answers,Other","Right now, I aim to get a degree in creative writing, first and foremost.",5,4,3,6,7,8,2,1,Probably yes,Myself,,,Both,,Yes,"It's a goal I have arrived for for a long time. I believe I have the necessary tools, direction, and mindset to see it through to the end, successful or not.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"I have a couple backup plans in mind, but I won't deny that failure in my main goal pursuit would be a huge bummer.","Happy,Gratified,Proud","Confused,Annoyed,Stressed,Anxious,Stuck",Projects,Second year or equivalent,Online institution,Yes,No,None of these choices are applicable to me,"NO, my career ambitions have changed A LOT from when I was in high school",,4,4
"It means consistent excellent results starting from A grades, an overall GPA of at least a 3.7 and thriving in extracurricular activities as well.","Getting good grades,Career preparation,Time management,Balancing stress",,1,7,2,8,3,6,4,5,Maybe,,,,Stressed,,Yes,"I major in fashion design, so I'm not in a typical liberal arts environment where studying is emphasized for academic success and instead completing projects and showing your creativity/originality is the most important aspect to me. So I feel a different kind of pressure that definitely stresses me out if I don't manage my time very well, but grades won't define what leads to my career in the end. ",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"If I didn't graduate or complete my BFA in a way that is unsatisfactory to me, it will affect my confidence and self-esteem, which would limit myself from reaching opportunities. Otherwise, academic success doesn't particularly matter in pursuing my dream career. The largest obstacle would be myself. ","Happy,Relieved,Dignified","Angry,Stressed,Anxious,Stuck",Nothing on this list stands out,Third year or equivalent,Public institution,No,Yes,Top 50% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,5,4
"Academic success means that one has excelled in their studies. The acquisition of a degree, getting good grades, or qualifying for the dean's list counts as academic success to me.","Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,2,7,3,6,1,8,4,5,Yes,Family,,,Stressed,,Like somewhat,"I need a therapist to address my lack of motivation and other mental issues that I have, but my family doesnt take my need for help seriously.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"It would affect my ability to get a high paying, consistant job","Relieved,Stressed","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Time management,Balancing stress,Awards/Recognition,Service",Fourth year of equivalent,Private institution,No,Yes,I cannot remember,"NO, my career ambitions have changed A LITTLE from when I was in high school",,7,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Being able to get good grades, regardless of if one learns or not","Getting good grades,Time management",,5,4,6,7,2,8,1,3,Maybe,,,,Stressed,,Like somewhat,I think im mostly capable but in some classes I really struggle ,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,I would have less success career wise,"Gratified,Proud","Annoyed,Stressed","Projects,Major assignments",Fourth year of equivalent,Public institution,No,No,Top 10% of the class,I don't remember what my career ambitions where in high school,,7,3
your family not having to struggle.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,1,5,4,6,7,8,2,3,Maybe,,,,Both,,Yes,I have the support system I need.,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,I wouldn't get into the school I want to.,"Happy,Relieved,Proud","Confused,Annoyed,Stressed,Anxious,Stuck","Balancing stress,Attaining top grades",First year or equivalent,Community college,Yes,Yes,Top 10% of the class,I don't remember what my career ambitions where in high school,no,5,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning the highest possible grade,Getting good grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Having good grades and getting a degree,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,1,2,3,4,6,7,8,5,Yes,Family,,,Motivated,,Yes,I have a computer and good library to access good information. I also have professors that will aid in success,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"If I had bad grades, I would not get my degree and I would not get a good job","Happy,Proud,Anxious,Stressed","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Time management,Balancing stress,Impressing your parents/guardians",Fourth year of equivalent,Public institution,No,Yes,I cannot remember,"NO, my career ambitions have changed A LOT from when I was in high school",,3,3
It means doing my greatest to learn and succeed.,"Career preparation,Time management",,1,5,4,2,7,8,3,6,Probably yes,Myself,,,Both,,Yes,I am doing my best.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would feel demotivated.,"Dignified,Proud","Angry,Stressed","Performance in sports,Tests,Independent Studies/Passion Projects",First year or equivalent,Public institution,No,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",No.,6,6
It means getting good grades and passing all my classes,Grad/professional school preparation,,4,3,6,1,2,8,5,7,Maybe,,,,Both,,Yes,"Lots of school resources, support, and motivation from friends and family",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It might make it harder to get into grad school or get good letters of recommendation ,"Happy,Proud","Annoyed,Stressed,Anxious","Major assignments,Independent Studies/Passion Projects",Fourth year of equivalent,Private institution,Yes,No,Top 1% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,6,6
Getting good grades in classes and graduating,"Getting good grades,Career preparation,Pursuing knowledge/answers",,2,5,3,8,4,7,1,6,Yes,Career Goals,,,Stressed,,Like somewhat,"The job market is the absolute worst right now, so I feel like I need to succeed even more than usual, but the support given is no longer applicable to the current job market.",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,I wouldn't be able to graduate and get a job in my desired field,"Happy,Relieved,Proud","Annoyed,Angry,Stressed,Anxious,Nervous","Projects,Awards/Recognition",Fourth year of equivalent,Public institution,Yes,No,I cannot remember,I don't remember what my career ambitions where in high school,,5,2
"Completing courses, learning, growing and preparing for a career.","Career preparation,Balancing stress,Pursuing knowledge/answers",,7,5,6,3,4,8,2,1,Yes,Family,,,Stressed,,Like somewhat,"I have a lot of barriers right now.  I'm homeless and have limited access to internet and quiet places to work.  It makes it hard to keep up with classes.  I don't have everything I need to perform at a high level, but I have enough to succeed.",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,I need this degree to get a higher paying job that will allow me to work part time and still be able to pay my bills. Not being able to complete coursework and finish my degree in a reasonable amount of time will just put me further into debt with nothing to show for it.,"Relieved,Proud","Annoyed,Stressed,Anxious,Stuck",Nothing on this list stands out,Third year or equivalent,Online institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",Not at this time,1,1
Is the achievement of educational goals.,"Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,5,3,6,4,8,7,2,1,Maybe,,,,Motivated,,Yes,I feel that academic success could change the way I behave and interact with people. It can also open my career paths.,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,It would not open my career paths.,Proud,"Stressed,Nervous","Projects,Extracurriculars/Clubs",I am currently not in college,Public institution,Yes,Yes,Top 75% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",Nothing.,8,8
learning the material and earning a good grade,"Getting good grades,Career preparation,Time management,Pursuing knowledge/answers",,4,3,5,6,8,7,2,1,Yes,Myself,,,Both,,Yes,i have the internet and think that is sufficient,,"No, none of these statements relate to me",Somewhat more,"It would make me a less appealiing job candidate, although this currently doesnt matter for me","Relieved,Proud,Stressed,Confused","Confused,Annoyed","Impressing your parents/guardians,Attaining top grades,Awards/Recognition",Fourth year of equivalent,Public institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,2,2
Academic success means using the opportunity and knowledge you gained to further advance your career or goals. ,"Career preparation,Time management,Balancing stress,Grad/professional school preparation",,3,2,8,4,6,7,1,5,Yes,Family,,,Both,,Like somewhat,"Even if I have the resources, if I am not right in the mind it is difficult to ask for help in the first place. ",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,Not having enough experience or connections to get a head start. ,"Happy,Relieved","Angry,Stressed,Nervous","Attaining top grades,Awards/Recognition",Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,I don't remember what my career ambitions where in high school,,4,4
"Being able to be at the top and in control of my test, homework and the school projects.","Getting good grades,Career preparation,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,5,2,7,3,6,8,1,4,Yes,Myself,,,Motivated,,Like somewhat,Like at some point i believe the necessary resources are within my reach but also at the same time they are very far away.,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,I would think of a career failure which translates to the weaker future or complete change,"Happy,Dignified,Proud","Stressed,Anxious,Nervous","Performance in sports,Tests,Projects,Time management,Attaining top grades",Fourth year of equivalent,Public institution,Yes,No,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",N/A,7,7
"Academic success is when a person is able to achieve their academic goals efficiently and effectively. To me, this would entail completing all coursework in a reasonable timeframe, with good grades, and with minimal stress all while being able to balance a life outside of school.","Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,4,7,3,6,8,5,2,1,Yes,Career Goals,,,Both,,Like somewhat,I feel like I have access to most of the resources necessary to succeed but I also feel like it would take more work for me to utilize these resources compared to the average person.,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Much more,Many of my plans for the future hinge upon me going to professional school and becoming a pharmacist. If I fail to succeed academically now I may not be able to go to professional school which would mean I could not become a pharmacist.,"Happy,Relieved,Gratified,Proud","Stressed,Anxious,Nervous,Stuck",Impressing your parents/guardians,Second year or equivalent,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,4,4
"Getting good grades, and learning things that are applicable to your future career pursuits","Getting good grades,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,5,3,4,7,6,8,2,1,Yes,Myself,,,Both,,Yes,Because I have the resources to manage my stress,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It might be harder to get into a grad school with a good program,"Happy,Relieved","Stressed,Anxious,Nervous","Projects,Major assignments,Time management",Fourth year of equivalent,Public institution,Yes,No,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,8,7
never failing,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,5,8,7,6,4,1,2,3,Yes,Culture,,,Both,,Yes,I'm taking lots of classes ,,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,id be homeless,"Happy,Relieved,Proud","Confused,Angry,Stressed,Anxious,Nervous","Projects,Time management,Independent Studies/Passion Projects,Internship/Career-oriented work",First year or equivalent,Community college,No,No,Top 75% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,7
"Academic success means learning the content and doing well (i.e., grades-wise).","Getting good grades,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,8,1,3,5,6,7,2,4,Yes,Myself,,,Stressed,,No,,I don't share this info with others.,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,It starts me out with less career/academic confidence.,"Anxious,Stressed","Annoyed,Stressed,Anxious","Service,Nothing on this list stands out",Fourth year of equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,4
"This is meaningful growth in understanding, application and progress towards your goals and not just good grades","Time management,Balancing stress,Pursuing knowledge/answers",,1,3,6,5,7,8,2,4,Yes,Myself,,,Motivated,,Yes,I just feel like I am in the right environment for me to succeed,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It might affect career opportunities and my confidence.,"Happy,Gratified,Anxious,Stressed","Annoyed,Angry,Stressed,Anxious,Nervous","Time management,Balancing stress,Impressing your parents/guardians,Service",Fourth year of equivalent,Online institution,No,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",N/A,6,6
"Academic success to me is about getting good grades to the best of my ability and most importantly, gaining the knowledge needed to pursue my goals. ","Getting good grades,Career preparation,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,3,8,4,5,6,7,1,2,Yes,Family,,,Both,,Yes,"I feel pressure to succeed academically mainly because academics have always been a part of my identity since I was a child. Being seen by everyone as a gifted kid pressures me to continue succeeding academically due to fear of disappointment, This pressure also serves as motivation to work hard. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,Not being able to succeed in academics would also mean I would not be able to achieve my career goals. ,"Happy,Relieved,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Tests,Projects,Major assignments,Balancing stress",Fourth year of equivalent,Public institution,Yes,Yes,Top 1% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",n/a,5,4
"Academic success means that I am doing well in classes. Usually, a B or above and that I'm learning and retaining all the useful information. That I'm on track toward graduating soon.","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,7,5,6,3,4,8,1,2,Probably yes,Career Goals,,,Motivated,,Yes,Because I can usually talk to someone at school or my friends. They provide the support I need.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"It would prolong my ability to get a good paying job by a few months or a year. Not very much in the long run honestly, but still.","Happy,Relieved,Gratified,Dignified,Proud","Annoyed,I do not relate to any of these feelings","Balancing stress,Attaining top grades",Third year or equivalent,Public institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,6,6
Academic success means learning the material effectively and getting good grades on assignments and exams.,"Getting good grades,Career preparation,Pursuing knowledge/answers",,2,6,4,1,5,8,3,7,Yes,School Environment,,,Both,,Yes,There are many resources set up by my university and in my personal life that I know I can leverage ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"I would have less opportunities and connections, and probably would have less knowledge","Happy,Relieved,Proud","Confused,Angry,Stressed,Anxious,Nervous","Projects,Attaining top grades,Independent Studies/Passion Projects",Fourth year of equivalent,Public institution,Yes,Yes,Top 1% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,7,7
"Academic success to me isn't necessarily about grades, but about how well you think you understand new topics compared to before taking the class in question.","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,5,2,6,4,7,8,3,1,Yes,Career Goals,,,Both,,Yes,I know I have a variety of resources available to me. The difficulty is having the confidence to ask for them.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"I would not be able to get into law school, which would throw off my entire career trajectory.","Happy,Relieved,Gratified","Confused,Stressed,Anxious,Nervous,Stuck","Projects,Major assignments,Service,Extracurriculars/Clubs,Internship/Career-oriented work",Fourth year of equivalent,Private institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,4,3
Achieving goals ,"Getting good grades,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,2,4,5,6,7,8,3,1,Yes,Myself,,,Stressed,,Yes,Because my family has my back ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",About the same,It effects how my outlook his ,"Happy,Anxious,Stressed,Confused","Confused,Angry,Nervous","Major assignments,Time management,Internship/Career-oriented work",Fourth year of equivalent,Private institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,4,7
"To me, academic success means getting the best grades and graduating with high honors. It means earning a degree and learning instead of memorizing to pass the test.","Getting good grades,Career preparation,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation",,5,2,6,3,4,8,7,1,Yes,Myself,,,Both,,Yes,"Because I've always done it before, but I don't know that I can afford it much longer even on scholarships.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"I haven't decided between my original career choice and law school, which would be much more work and money.","Happy,Relieved,Gratified,Dignified,Proud","Annoyed,Stressed","Attaining top grades,Awards/Recognition,Service",Second year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,4,4
I mean getting an education degree.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,2,3,1,4,5,6,7,8,Yes,Culture,,,Both,,Yes,I have my family and school resources to support me. ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,It would be more challenging to get a job.,"Relieved,Gratified,Proud","Annoyed,Angry,Stressed","Tests,Balancing stress,Impressing your parents/guardians",Fourth year of equivalent,Public institution,Yes,Yes,I cannot remember,"NO, my career ambitions have changed A LITTLE from when I was in high school",,8,5
"Academic success is performing well in your classes, having great test scores, and a great GPA. It can also mean obtaining degrees with a high return on investment, that will get you a good job in the future.","Balancing stress,Grad/professional school preparation",,1,4,6,2,5,8,3,7,Yes,Family,,,Stressed,,Yes,I feel as though my family really pushes me through and also I do have the financial means in some ways,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I think it could prevent me from progressing academically and furthering my education,"Happy,Relieved,Proud","Annoyed,Stressed,Anxious,Nervous",Nothing on this list stands out,Fourth year of equivalent,Online institution,No,No,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",no,5,5
"Academic success to me is defined as acquiring knowledge and critical thinking skills about the academic objectives outlined in a class syllabus. If it's technical oriented, then having the confidence and knowledge for the degree is important. ","Getting good grades,Career preparation,Pursuing knowledge/answers",,7,3,5,4,6,8,2,1,No,,,I manage my stress by taking only 6 credits a semester to balance my academic and home life.,Motivated,,Yes,My college has ample tutoring and advisers for academic success ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It would require me to take more classes or seek additional guidance and mentorship ,"Happy,Gratified",Stressed,"Balancing stress,Attaining top grades",Second year or equivalent,Other,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,6,6
Great grades & connections,"Getting good grades,Balancing stress,Internships/co-ops",,7,2,1,4,6,8,3,5,Yes,Myself,,,Motivated,,Yes,Well because its the only option I have tbh,,"No, none of these statements relate to me",Much more,,"Happy,Gratified",Annoyed,Balancing stress,Fourth year of equivalent,Public institution,No,Yes,Top 1% of the class,I don't remember what my career ambitions where in high school,,3,3
"Doing well in the scholastic world with A’s or B’s, but also having a meaningful impact in the education community around you.","Getting good grades,Career preparation,Time management,Balancing stress",,1,2,3,4,6,8,7,5,Yes,School Environment,,,Both,,Yes,Because of my husband’s support ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,Less opportunities to stand out,"Happy,Relieved,Dignified,Proud","Annoyed,Stressed,Anxious","Attaining top grades,Awards/Recognition,Independent Studies/Passion Projects",Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",I love learning a lot and I love surveys like these! I made surveys for one of my final semesters for other students and it was so fun to get feedback.,8,7
"Academic success to me is graduating with what you set out to do, if that’s with high honors that’s your version of it, and if you just want a certificate to get a certain job then that’s your success if you make it there, different for everyone and taking steps back and failing once doesn’t mean you can’t succeed later.","Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation",,1,6,7,4,8,5,3,2,Yes,Myself,,,Both,,Like somewhat,"In some ways I feel supported like my mom will help me pay for my tuition and books occasionally and online help for my classes but in other ways I feel like I’m drowning with student loans, the pressure to get a good grade, the fear that I’ll eventually fail after coming so far…all very scary.",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much less,If I don’t have academic success and finish my degrees I won’t be able to get a good career and have kids…all I want in the whole world is to have kids and I’m infertile so even if I had a partner I’d have to use IVF to have babies and I need a good salary to even remotely afford that…I can’t fail because the only thing I want in life is a huge expense and I don’t know any other way to get successful.,"Relieved,Dignified,Proud","Confused,Annoyed,Angry,Anxious,Nervous,Stuck","Major assignments,Time management,Attaining top grades",Third year or equivalent,Online institution,Yes,No,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,3,2
Being successful with your grades and outlook on your classes going forward. ,"Getting good grades,Time management",,1,6,3,5,8,7,4,2,Yes,Myself,,,Stressed,,Yes,I think this is the correct order of priorities when it comes to your school,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,The classes that you take are important.,Happy,Annoyed,"Performance in sports,Attaining top grades,Awards/Recognition",Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",NA,7,7
