definition,academicgoals,describeacademicgoals,resourceswhy,futureimpact
"Getting the most out of the time and money put into my college years. Gaining knowledge, skills and relationships to succeed in my career. ","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"I have grown close with a college professor who is available to me with questions, and I have an advisor who is a certified counselor. ",If I don't do well academically then I won't feel prepared or as though I harbor the knowledge needed to advance in my career. 
Academic success means truly learning and gaining everything I can out of the academic environment that I am in.,"Getting good grades,Time management,Pursuing knowledge/answers",,I know where to go if I need help and I know that I will get it.,I will not have the career or lifestyle that I want to have.
To be successful in schoole,Pursuing knowledge/answers,,,None at all
"Graduating, grasping the class material, and completing the coursework with a B or an A. ",Pursuing knowledge/answers,,the internet is the best resource i could imagine,"disappoint my family, myself"
"Being able to achieve my goals, learn more, and pass successfully. ","Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,"I have some resources like materials and support but at the same time, I do not have time or money. ",I would have fewer opportunities for a higher-paying job. 
Academic success means to me achieving the goals you set for yourself. It means learning all that you can and being able to apply it in various ways to your life. ,"Getting good grades,Career preparation,Pursuing knowledge/answers",,"Because I'm going back to school at a later time in my life, I understand the importance of why I'm doing it and I definitely take it a lot more seriously than I did the first time I went. ","The future is constantly changing and in my career of choice, my lack of a bachelors degree is really limiting my job opportunities. I don't want to keep making low wages forever and I'd like to advance further. If I flunk out of school, my job opportunities will be much more limited and my wages will continue to be low.  "
"To me, academic success  is about growth, persistence not just getting high grades","Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,"I feel so because i have instructions, knowledgeable teachers, and tools that make learning easier.",By  limiting certain career options or making it harder to qualify for scholarships or advanced studies
"Not just passing classes, excellence in them to set myself up for the future","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,Because I have resources available but I’m still struggling so much,If I don’t get good grades I can’t go to law school then all of my studies are meaningless 
It means learning the subject matter thoroughly enough to demonstrate a capable understanding of it. ,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,I feel that I do too much on my own and do not all for enough help. ,I will not abusive the degrees I want and this can lead to not getting the career opportunities I want. 
"Academic success, to me, means that I have absorbed the information I am being taught and that I am putting that information to great use. This can mean many things; maintaining a good grade, getting into an internship relevant to my degree, working towards scholarships, etc.","Getting good grades,Career preparation,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,,"I would not be able to find work within my locale that would sustain my family and future goals. I would feel personally unfulfilled, as the work I wish to do requires an education. I would be indebted beyond reasonable means."
"Academic success to me doesn't just mean having a high GPA and getting a degree, but it also means getting a large return on investment from your education, and being able to land a high income, stable job as a result of your educational success.","Getting good grades,Career preparation,Time management",,Having a large support network means that I have a lot of people to fall back on whenever I get super stressed out or overwhelmed by education and / or work. This means I have numerous contingency plans if things end up not working out (which they tend to not.),"I think it would reduce my future economic and retirement prospects definitely, especially given how extremely competitive the highest paying jobs are (which are mainly in the tech field, where my degree is focused in). I want to land a high paying job as soon as possible so that I can save up and invest enough that I eventually don't ever have to work again. That's my ultimate goal for the future."
Achieving good grades and gaining knowledge,"Getting good grades,Career preparation,Pursuing knowledge/answers",,"It's just a burden to constantly carry that eventually gets tiring, like holding a glass of water for weeks without putting it down.","Getting a job right out of college if you have little to no experience or applying to graduate school, since they all look at your GPA."
Academic success is attaining the knowledge and goals that you wish to get from education.,"Getting good grades,Career preparation,Pursuing knowledge/answers",,"My university has many options for me if I need help. There is tutoring, the library, therapy, and many more.,","If I did poorly in a class, I probably did not understand the material well, which would make me less prepared for a career."
Academic sucess is being able to not only pass your classes but also being able to build yourself up. like getting connections for the future and having a plan that can be bent or reshaped as needed. ,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,"It feels like as time goes by there's less and less doors open. Everytime I reach a goal, ten more doors shut close. Everytime I fail a goal, triple that amount shut close, and with an even more heart breaking noise. Society expects people to graduate in a certain time and I'm stuck being compared to others I know. It doesn't end, it's a repeating cycle of stress and motivation to keep going, each fighting with one another to push me ahead or pull me back.","There are people who have expectations for me, and the goals I've for myself. I've spoken too much about my goals that people expect me to fulfil them as I said. I wouldn't be happy in the future dealing with this and I fear my failures would leave a permanent mark that others could see in the future."
Completing coursework and increasing ones knowledge,"Getting good grades,Career preparation,Balancing stress",,lacking personal motivation,less prospects
"Most importantly, it means being able to fully grasp and understand concepts within the field of study I'm in. In addition, it's the question of ""am I able to use this knowledge to further fuel my passion for this field and find ways to improve the current state of our world?""","Career preparation,Time management,Extracurriculars/Clubs",,"I come from a complex family dynamic where it feels like one parent is very encouraging and helpful in helping me navigate my academic journey and post-grad career while my other parent acts more out of self-interest when it comes to advising me on how to navigate my future and consequently, adds to a lot of the stress I feel in my academic journey. I'm at a point in my life where my desire to succeed academically moreso stems from my desire to get a career and be able to leave my home life as I don't feel my personal family situation contributed positively to my academic journey.","I fear that if I didn't succeed academically it would therefore limit my career opportunities and consequently, take longer for me to achieve financial independence and be able to remove myself from my home life."
It means getting good grades and retaining the information you learn in school. Succeeding in completing your academic classes and getting a degree.,"Getting good grades,Balancing stress,Pursuing knowledge/answers",,"I feel like I have the tools I need, but it would be easier if I had  more support with stuff around the house/my child while trying to do school work and working full time","If I'm unable to get a degree, it will prevent me getting more opportunities to advance within my career. I think my grades probably matter less than me actually getting a degree, but I'm hard on myself, and can't stand getting lower than an A"
understanding what I learn,Pursuing knowledge/answers,,I feel like I need more that what I already have,my career really depends on my academics
Getting good grades and learning the information you need to know,"Getting good grades,Career preparation",,The resources are available but they're not easily accessible. Like the tutoring that's available is kind of set it up on your own it's kinda of difficult to get started.,if I fail completely I won't get a college degree and i'll be poor.
It means learning and retaining information at a high level.,"Career preparation,Balancing stress,Pursuing knowledge/answers",,I have a great support team available for me.,Lesser paying work.
Doing well in school,"Getting good grades,Balancing stress,Pursuing knowledge/answers",,My school has a lot of places I can seek help in,I would end up with a worse paying job after graduation.
Academic success to me means that I am making good grades and staying focused.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,"Sometimes I feel like my family doesn't want me to succeed, and sometimes school gets hard.",It would stop me from getting my career to where it wants to be.
Academic success means getting high grades with good morale that follows.,"Getting good grades,Time management,Pursuing knowledge/answers",,"Because I know that with a passion to succeed,  I will be able to",Less opportunities
"Get A or B for every class
that I am taking, graduate with a 3.5 or higher GPA.","Getting good grades,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,"All of my family members have a successful career, my parent wants me to be like them.",I’m planning to become a registered nurse so I must do well in every class to get into the nursing program.
Academic success to me means being able to pass your classes with a good understanding of the material. ,"Balancing stress,Internships/co-ops",,I tend to get stressed about school and I don't have the best coping mechanisms for that,I currently am not eligible for certain jobs due to my GPA and have a harder time getting jobs because my lack of internships.
Having good grades and being well versed in your subject matter,"Getting good grades,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,I feel as if I am encouraged by those around me in a beneficial manner,It would make getting into further education more difficult
,,,,
,,,,
achieving good grades and learning information,"Career preparation,Extracurriculars/Clubs",,because i do not have it all and i still had something ,because i would not have been successful
Obtaining good grades,"Getting good grades,Time management,Internships/co-ops",,I feel like there are not many good resources so I just have to use the internet to learn,I feel like academic success is an indicator to how well you will do in life. 
Graduating with a high gpa,"Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,,
Academic success means earning a degree.,"Career preparation,Time management,Balancing stress,Internships/co-ops",,I want to do better than my parents,I would have self-doubt and be unmotivated
To me academic success means doing the best I can to get the best grades I can and get a job in my chosen field.,Career preparation,,,If I didn't succeed academically I would not be able to get a well paying job to get out of the hole I'm  in.
It means driving to be the best I can be and perform to the best of my ability in each class. Dedicating study time and balancing life with school.,"Time management,Balancing stress",,,It would take me longer to attain the same goals and financial status.
Passing all your classes and moving towards your future career.,"Getting good grades,Career preparation,Time management",,I don't think I'm lacking anything except motivation.,My choice of college could change which in turn might make me decide a new career path.
Academic success means good grades to me,"Getting good grades,Career preparation,Time management,Balancing stress",,I have whatever I need and i can afford it,
Maintaining an above average GPA,"Getting good grades,Career preparation,Time management",,I feel my university offers lots of professional development opportunities.,Chance of getting into graduate school
To achieve an education or gain academic knowledge in a respective field.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,"I have the resources, but I still feel clueless and unprepared for the real world.","I need to be ready and prepared now, rather than having to worry about gaining the credentials later in life."
"Academic success is something I would define as an educational journey that results in an individual not only receiving a degree, but also, and more importantly, becoming sufficiently knowledgeable in a certain field or expertise.","Getting good grades,Time management,Balancing stress,Grad/professional school preparation",,"I mainly credit my confidence to my mental resilience and emotional strength; however, I also greatly credit the amazing support system that I have had all of my life.","Some of the goals I'd like to achieve would be omitted, without a doubt."
having measurable accomplishments to show and being well prepared for my career field,"Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation",,this career plan is extremely important to me and there's not many fields I can work in with my disability so I feel like this is the only option. I struggled in highschool and was shamed for it. I don't want that to be who I am anymore. This is my redemption.,I would be unable to achieve my career plan and would end up struggling much more or unemployed and fully supported by my partner
Receiving a degree and getting a career in said degree. ,"Getting good grades,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops",,Because everything is expensive. ,Because I need good grades to receive a good job. 
"Academic success means getting the highest grades, doing many extracurriculars/internships that make you learn a lot about who you want to be in the future, and what your career could be.","Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,"My community college has a bunch of opportunities, offices to support us, and has created such a culture where you feel supported.","I wouldn't have a job in the first place, I wouldn't be in a career I like, etc."
"Academic success, in my opinion, is acquiring the knowledge and skills necessary and utilizing them to achieve educational growth and reach the set goals.","Getting good grades,Time management,Balancing stress",,Because the resources that I utilize have been enough to create success for me thus far.,I would feel like I have wasted my time and potential.
Academic success means getting good grades and learning as much as you can.,"Getting good grades,Career preparation,Grad/professional school preparation,Internships/co-ops",,"Schools give students incentives like grades and awards to achieve success, but they don’t always encourage doing so honestly. This can push students to focus on results over real learning, sometimes leading to shortcuts or cheating.",It would impact my ability to get into grad school and find a job when I graduate.
Successful in academics which is doing great with school,"Career preparation,Time management,Balancing stress",,,Not understanding the job as well
Pursuing education in something you are passionate about and giving it your all,Time management,,My parents have always supported my education and were willing to help me with anything I wanted to do.,"Depending on how poorly I did, may have to do extra courses and be in school longer."
Academic success means that I'm achieving strong grades with some sort of extracirricular.,"Getting good grades,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops",,"I feel that way as I have the financial support,.","I feel that without the challenges of academic vigor, itd be more difficult to suceed."
Getting good grades at a top course in a top university. Outpreforming your peers. ,"Getting good grades,Grad/professional school preparation,Internships/co-ops",,"I am blessed to be debt free and attend an institution that has resources to support me. Also, having had an academic background that I did I am grateful to have learned many things I use today so young.","I would not be able to follow the path I have always wanted. It would, at this point, be genuinely devastating."
Having the ability to graduate and then find a good job that makes money and helps others.,"Getting good grades,Time management,Balancing stress,Internships/co-ops",,There could always be more resources.,I may not be able to get a job. You either need job experience or educational experience and failing would not help me.
"""Academic success"" to me means that you are someone who works very hard in their academics no matter how bad you struggle. I believe if you work hard, the success will just come in naturally.","Getting good grades,Career preparation,Balancing stress",,"I definitely have the resources and help available to me, but I am a very stubborn person who doesn't like to ask for help even if I'm struggling. At my school, there's resources for people with less income, mental and physical disabilities, veterans, and especially for people struggling in their classes. I would like to get rid of this asking for help = weakness mindset.",I think not doing well academically is very bad for the situation I'm currently in. My parents and other supportive people pour all their resources into making sure I succeed because we now live in an age where companies won't even look at a resume if there is no degree.
"When you are doing well, learning new things, and doing something no one else can do","Time management,Balancing stress",,,
Getting a passing grade and finishing assigned tasks on time. ,"Getting good grades,Career preparation,Time management",,I feel like I need to do this for myself. ,Not being able to get promotions I aspire for.
receiving good grades in school and getting a good job,"Getting good grades,Career preparation,Time management",,I have good teachers and resources to use to get good grades if I work hard. ,I would feel be less successful because I didn't do as good academically. 
Pushing my limits.,"Getting good grades,Career preparation,Time management,Balancing stress",,I'm always being told that I can do it and receiving help.,I would feel less motivated.
Getting A's in classes.,"Getting good grades,Career preparation,Time management",,There are plenty of advisers and peers willing to help me along my academic journey,"Likely, I would feel worse about myself and thus perform worse, as people are inclined to perform worse if they are less confident in themselves."
It means graduating from a degree that I am aligned with for my career and was planning to help me succees.,Career preparation,,,If if do not remember the material then that means that my future clients could be impacted. Also I could not be hired if I do not retain material.
Doing well and thriving well in academics,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,I have a family that supports me and I’m a full-time student and I have the resources that I need to be academically successful,I wouldn’t be making money
Getting good grades and learning the content to heart. ,"Getting good grades,Career preparation,Internships/co-ops,Pursuing knowledge/answers",,Everything is hyper competitive and resources that aren't already known by everyone is hard to find. ,"A lower GPA would hinder my self confidence, make my family more disappointed, and likely be less attractive to employers. "
Good grades,Getting good grades,,Good advisors,No money
"It means to have a high, 4.0 gpa, successful side activities like clubs or volunteering, being a top student and understanding most if not everything in class.","Getting good grades,Balancing stress",,,"It would probably ruin everything; my 2.5 years of education so far, the money i've spent on college, and other aspects."
Being able to do what I need to feel good about my performance in school.,"Getting good grades,Career preparation,Time management,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,I know I have all the resources to succeed but when you have this overbearing pressure to do well and succeed it makes me second guess myself,If I don't excel employers may look at it and think I am not a suitable candidate.
Having my assignments done correctly and on time while actively participating in class discussions ,"Balancing stress,Grad/professional school preparation",,I do think there are resources but i dont really feel comforatble using them nor do I have time,It would cause me wasted time and wasted money .
"Academic success means to me what someone considers to be achieving their goals, whether it's degrees, number of papers written, or otherwise. ","Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,"Because it sometimes feels I am drowning in everything I have to do; and other times, it feels like I have this strapped together. ","It would affect my earning potential, where I can live, and how my family views me."
"It means achieving the highest grades possible for one to attain. That doesn't mean having a 4.0 GPA for everyone, as not everyone thrives in an academic environment. I believe that graduating is one of the biggest academic achievements anyone can get!","Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,I have a partner who helps support the both of us by making it possible for me to work less hours a week at my job so that I have more time to focus on school.,It would be much more difficult (than it already seems to be even with a degree) to find a job that pays well enough to live comfortably.
Learning something which as a result produces good grades.,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,My family believes school is the only way in the current state of the US. Kinda true but  it might leave me stuck financially and career wise afterwards. Not sure what's after school 🫤,"If I don't pass my mom will be upset, I don't know what will happen to me exactly but I may get kicked out. I can't survive on my own."
academic success to me is to be able to complete my program with good grades,"Getting good grades,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,I feel so overwhelmed and not sure how to allow someone in to help.,Not having the support may cause me to have to come out of school
"Academic success means achieving good grades, learning abundantly, and applying that knowledge in real life.","Getting good grades,Time management,Pursuing knowledge/answers",,I have resources but I have to sacrifice things like time and money to achieve them.,It would effect my determination and give me low confidence that I think would transfer to my career and life goals. 
Completing a degree program with a good grade point average.,"Getting good grades,Balancing stress,Pursuing knowledge/answers",,I wish I had a support system of smart people I can ask questions.,More and higher quality opportunities would become open to me. 
"Academic success means getting the grades you want, feeling like you understand the material being taught, and being able to put that knowledge to use.","Getting good grades,Career preparation,Extracurriculars/Clubs",,My school and family have always made it clear that help will be provided if it is ever needed.,I would feel less motivated to do things.
good grades,Getting good grades,,i feel i myself have all i need to succeed with whatever challenges im faced with,"make less money, harder time finding a good job, struggle in life"
"Taking my studies seriously to the point that I am able to receive good grades, pass my classes, and actually learn what is being taught to me.","Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,There is a lot of support from my school and my family and friends.,I feel like it would case me to not be success in achieving my careers goals and set me back.
Graduating with a decent GPA (around 3 point something) but knowing that you did very well in what you attempted in doing.,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,I am encouraged to do what I need to do and because it is within my limits I have the ability to do a thing or not do a thing. ,I don't think it would affect it too much but just that perhaps it could affect my motivations to do a lot of other tasks as well as I have attempted to. 
"Academic success to me is feeling stress free during the school year, maintaining all a's and b's, going to class each week, and actually applying the knowledge I've learned  ","Getting good grades,Career preparation,Time management,Balancing stress",,"I feel this way because, I have friends and family that are willing to hold me accountable and help me. My school also has numerous resources to help me succeed, from guidance counseling to tutors. My professors are also extremely helpful in helping  ",This would effect my future because I would be stuck at a doing something I don't enjoy. This would also greatly disappoint my family
Academic success to me means good grades and a high level of understanding of the material.,"Getting good grades,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"I don't have a ton of outside support, but just enough to be able to get by.",I potentially wouldn't have had as successful a career.
someone who does their work in school and gets good grades,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops",,,my gpa could effect qualifications for grad school
Passing the full course and having consistent grades ,"Getting good grades,Time management,Balancing stress",,"i feel like I am in my own when it comes to my academic needs and success, and i just need to strive to push myself more. ","This would affect the goals I set for myself each year and would ultimately hold me back to become ""more behind"" on everything I prepared for myself "
Academic success means excelling at academic endeavors ,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,I feel as though college students undergo a lot of stress for academic success and do not always get nor have access to the supports needed ,"It would force me to
Figure out another way to get into graduate school and attain a certain career "
To me it means trying you best in school.,"Getting good grades,Time management,Internships/co-ops",,I feel like I have great support from various people who are really trying to help me ,I think it would be hard for me to get into what kind of job I wanted in the future 
Making oneself more learned than one was before enrolling. Knowing things that are important to being a well-rounded classically educated person.,"Getting good grades,Time management,Pursuing knowledge/answers",,,One can always learn in ones own time. 
,,,,
"Successfully passing all courses and getting grades above “not failing”. So like, maybe above a C-","Career preparation,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,"I have care and support, alongside enough money to afford my books, tuition, and other emergency expenses. I have both financial and emotional resources. ","My entire career path would be thrown off, I’d be pretty lost and I wouldn’t be able to pursue my goals. I’d have to shift sharply into another path, but it wouldn’t be one I’d want to do. I’d have support but there would still be disappointment. "
"Doing well in my classes, high grades",Getting good grades,,I've had a lot of struggles.,"I'd have to compromise on jobs and career paths, probably be less happy and fulfilled."
,,,,
Gaining knowledge necessary to get a professional career,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,I’m poor. But I know that I’m going to do good,Well I have to take out loans later in life so it’s really financially screw me
,,,,
Doing what is asked of you and providing quality work and answers to school learning issues.,Pursuing knowledge/answers,,I have access to resources to help me succeed.,"As long as I got my degree, my path would have been the same."
Receiving good grades and producing quality work,"Getting good grades,Career preparation,Balancing stress",,"I have an advisor who helps me, and explains to me things I don't understand.",People would consider hiring me less
Achieving a goal that you've been trying to pursue academically ,"Getting good grades,Career preparation,Time management,Balancing stress",,I have a great support system,I wanna be a lawyer so...
Graduating with a degree with high marks and recognition.,"Grad/professional school preparation,Pursuing knowledge/answers",,Because I've done well so far and have gotten positive feedback from my professors and advisors.,I would lose some motivation.
Maintaining consistent good grades,"Getting good grades,Time management,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,I feel this way because I want to do my best,I don't think it would affect my future too much
"For me, academic success means putting in your all to do everything I can to do well. It means actually learning and retaining what you are studying. ","Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,,I wouldn't be able to actually pursue my dream career. It would set me back. 
Academic success to me means that you are excelling in schooling whether it be through getting good grades or getting some sort of fulfillment with extracurricular activities or the learning process that may or may not help you career-wise.,"Balancing stress,Pursuing knowledge/answers,Other",My current goals are a little on the lax side. I'm just trying to learn for the sake of learning. Like currently learning 3D animation so that I will be able to animate my own zombie TV series.,"If I wanted to go back to school, my grandfather would do anything in his power to make it so I'm able to go back. ",It would just not be motivating to me.
Academic success means getting a good GPA and understanding content.,"Getting good grades,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,I feel like I come from a good enough background for these to be met,Bad GPA means I cannot go to the grad school i want
Successfully completing classes and assignments and achieving good grades.  Actually learning the materials instead of memorizing for exams and forgetting when the class is over,"Getting good grades,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,Because this is my second time attending college and I feel I have the necessary tools and experience. ,I would not be able to advance my career and increase my earnings.  I would not be able to move on to more interesting work 
"Academic success is achieving your goals that you set, without detrimenting your own mental health. ","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,"I feel I am given everything I need to succeed, I am just failing to meet expectations from myself and people around me. ",It would prevent me from landing a well paying job. 
Being able to obtain a college degree by fulfilling all class requirements and getting a degree that is useful in the job market.,"Getting good grades,Career preparation,Pursuing knowledge/answers",,"I have family support which is most important to me and I have the time and resources at this time to make it happen, fortunately.",It would effect my ability to change my career which I need to do as I go into the latter part of my life. It would affect my earning potential.
it means that you find a way to balance your life and school at the same time in a successful way. ,"Time management,Balancing stress",,"I have all the sources from my school to be able to find help from different teachers, or other departments like psychological or financial help.",It would delay my other goals to get a post graduate degree. 
Academic success means a degree achieved with a high GPA or references to showcase that the information was learned. ,"Getting good grades,Pursuing knowledge/answers",,"I want to succeed, but I feel guilty for not achieving my expectations from family. ","I don't know if I want to pursue anything heavier as far as a career goal, but if I don't get an education I won't be able to get too high without a degree"
academic success means thriving in school; getting good grades and also learning,"Career preparation,Time management,Balancing stress",,I am  in a programw ith many mentors to reach out to if there is a topic I am not understanding.,Being academically unsuccessful closes many doors.
Academic Success means going above and beyond in your academics and ensuring you complete everything you are asked.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,My school currently offers a lot of academic help if I were to be struggling.,I feel like I would be a failure and it would be hard for me to obtain jobs.
Academic success means having a good grade point average and earning a degree that allows you to obtain a job. ,"Getting good grades,Career preparation,Pursuing knowledge/answers",,I feel like I have been given opportunities that allow me to be less worried about finances FAFSA paid for my associates degree. My school also offers tuition forgiveness if you are not able to afford a semester of classes. The college that I attend also provides a pantry where students who are struggling to buy groceries can pick out food items to take home. There are tutors free of charge as well. The school allows me to be able to grow and learn without worrying as much about food and money. ,Without academic success my future would be affected because my opportunities would be more limited. Your academic credentials are part of what people look into when hiring and it can make a difference between being a candidate for a job or not. 
"To me, academic success means self-growth, discipline and excelling in the field of study that I have chosen.","Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,Because I have set the high bars for myself,It would alter my focus
 means getting good grades,Getting good grades,,because a times i feel yes i need to succeed acadamically and at the same time am stressed  how to succeed.,"
Good grades, certifications or degrees often serve as entry requirements for many careers. Employers use them as initial filters."
"No debt, complete degree in 4 years.","Getting good grades,Balancing stress",,I feel i don't have the time to take advantage of those opportunities.,not getting a job
Means having gotten more education than the bare minimum (Associates) and ensuring you had good grades. ,"Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,Because I have been guided most of my childhood how to get to where I want. Especially academically.,I’m not sure. I could stay in the same low paying position. Or get a career in the field I love but start from the bottom with low pay. 
Academic success means consistently reaching my learning goals and achieving good grades in my studies.,"Getting good grades,Career preparation,Balancing stress,Pursuing knowledge/answers",,"I always have access to helpful teachers, learning tools, and my family who encourages me every day.",It could make it harder for me to get decent jobs that should match my skills and reach my goals.
WELL EDUCATED,Time management,,hard to adjust with social pressure,depends on what industry you are in
"It means achieving the results you wanted to accomplish through study and application of the studies towards a goal, dream or pursuit. Finding success through growth in knowledge.","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"I have more opportunity than ever before through both networking and the applications of AI to reach my full potential. I have grown in learning, and understand not knowing how to proceed is just another challenge that needs overcome, and not let it paralyze you.","It could deter me, make me feel I have not striven enough or tried hard enough. It comes down to my personal views, if I feel like I'm going to fail, I will. If I push to excel and find alternate routes to gain success, that is my choice. It all comes down to how much I really want to achieve a goal and meet or exceed my expectations and how I accept limitations or overcome them."
passing academics with high marks only A's,Getting good grades,,i have all the tools i need but anyone can have the tools they need if they have a goal ,lack of ambition as a whole will demotivate anyone 
"It is simply an accomplishment beyond grades, like skills and goals","Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,They are necessary to propel success,The opportunities would be scarce and I won't be able to compete effectively
To me academic success in not just about getting top grades or perfect test scores though those can be part of it and its more about truly understanding what i am learning and being able to apply in real life,"Getting good grades,Career preparation,Time management,Balancing stress",,Because i had down some times in my academic success hence i need support to achieve the academic success,Defiantly it will be effect my future to achieve my carrier growth and personal life 
"To me, academic success means I understand the material I am being taught in class. That I am able to pass exams and quizzes with high grades. Academic success means I have A’s and B’s on my transcript and at least a 3.5 GPA. Academic success means my teachers know who I am because I participate and try to be a model student. ","Getting good grades,Career preparation,Time management,Pursuing knowledge/answers",,I attend UIC and I know I have all sorts of resources available to me. ,I’d feel like a failure. If I didn’t do well academically. I’d hope I still graduate but it wouldn’t feel right if I didn’t overachieve. 
"It means doing well in college, but also feeling like you actually retained the material. ","Career preparation,Internships/co-ops,Pursuing knowledge/answers",,"There are so many things readily available on the internet, and I have the tools I need to access them. ",If you did not do well it could be that you do not understand or are not retaining the information. 
"""Academic success"" means getting good grades and pursuing the education I want to achieve. It involves obtaining the required experience that would make it easier to work in the career that I am currently trying to get. It involves knowing my limits and what I am able to do.","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops",,I feel this way because I have difficulty assessing what resources I would need versus what I do have. It is difficult to gauge these resources sometimes because I feel the pressure of stress pretty frequently.,This would affect my future because it would be even more difficult to achieve my education. I would have a harder time getting the grades I need to pass my classes.
getting good grades,"Getting good grades,Career preparation,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,I don't have enough resources or support personally,I need to be able to get a good job
"To me, academic success means acquiring academic degrees. ","Career preparation,Pursuing knowledge/answers",,"I have personal goals for financial success, which require academic success. ",It may take me longer to achieve my financial goals by delaying the type of job I get.
to be a strong academic student and get good grades,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation",,I have a very supportive environment around me ,my self esteem and future goals 
Academic success is when a student pursues their classes to the best of their abilities and then succeed strongly.,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,I have support from family and friends and I try hard and put in my all.,I just wouldnt necessarily get into the programs i want but im sure i could still find a way to make my future full of purpose.
"To me, academic success means more than just getting good grades. It's about truly understanding the material and learning how to apply it to real-world situations, It's about developing valuable skills-like critical thinking, problem-solving, and communication-that will prepare me for my career. Success is walking away with a solid foundation of knowledge that makes me feel confident and capable heading into the workforce. ","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"My motivation comes directly from my career goals, which I ranked as the most important influence. I see a clear connection between doing well in my classes now and being able to build a successful, stable career for myself after graduation. This makes the hard work feel purposeful. My individual experiences have also shown me that I can handle challenging coursework, which gives me the confidence that I have what it takes to meet my goals. At the same time, this focus creates a lot of stress. ",Not being able to reach the career goals I have set for myself. 
Growing in knowledge and skills while maintaining well-being and preparing for the future.,"Career preparation,Time management,Pursuing knowledge/answers",,"I see the cup half full, so I tend to work with the little resources I have.",It would affect me in the way that I will not be able to continue with my career and dream job.
it means good  grades and learning the material,"Getting good grades,Time management,Internships/co-ops,Pursuing knowledge/answers",,I feel stressed because of all the things I am expected to do and acomplish. ,My academic success directly affects if I will be struggling in my future
to achieve skills in order to get my job,Pursuing knowledge/answers,,because sometimes i have to spend a lot to get the materials that i want and i cant afford them,"i am already covering subjects that are not teached at my college, so i think i can still be successful"
